threshold,known_acc,unknown_reject,balance
0.2,0.8426,0.1999,0.3232
0.21,0.8418,0.1999,0.3231
0.22,0.8403,0.1999,0.323
0.23,0.8396,0.1999,0.3229
0.24,0.8394,0.2003,0.3234
0.25,0.8383,0.2031,0.327
0.26,0.8372,0.2975,0.439
0.27,0.8364,0.4002,0.5414
0.28,0.8347,0.4002,0.541
0.29,0.8338,0.4002,0.5409
0.3,0.8336,0.4002,0.5408
0.31,0.8325,0.4002,0.5406
0.32,0.831,0.4002,0.5403
0.33,0.8297,0.4002,0.54
0.34,0.8282,0.4002,0.5397
0.35,0.8258,0.4002,0.5392
0.36,0.8239,0.4002,0.5388
0.37,0.8215,0.4002,0.5383
0.38,0.8202,0.4002,0.538
0.39,0.8192,0.4002,0.5377
0.4,0.8172,0.4002,0.5373
0.41,0.8164,0.4002,0.5371
0.42,0.8138,0.4002,0.5366
0.43,0.8112,0.4002,0.536
0.44,0.8088,0.4002,0.5355
0.45,0.805,0.4002,0.5346
0.46,0.8019,0.4002,0.534
0.47,0.7989,0.4002,0.5333
0.48,0.7961,0.4002,0.5327
0.49,0.7933,0.4002,0.5321
0.5,0.7914,0.4002,0.5316
0.51,0.789,0.4002,0.5311
0.52,0.7854,0.4002,0.5303
0.53,0.7821,0.4942,0.6057
0.54,0.7791,0.4942,0.6048
0.55,0.7746,0.4942,0.6034
0.56,0.7714,0.4942,0.6024
0.57,0.7681,0.4942,0.6014
0.58,0.7647,0.4942,0.6004
0.59,0.7608,0.6777,0.7169
0.6,0.7554,0.6997,0.7265
0.61,0.752,0.6997,0.7249
0.62,0.7481,0.6997,0.7231
0.63,0.7402,0.6997,0.7194
0.64,0.7363,0.6997,0.7175
0.65,0.7311,0.6997,0.7151
0.66,0.7277,0.6997,0.7134
0.67,0.7242,0.6997,0.7118
0.68,0.7212,0.6997,0.7103
0.69,0.716,0.6997,0.7078
0.7,0.7113,0.6997,0.7055
0.71,0.7068,0.6997,0.7032
0.72,0.7018,0.6997,0.7008
0.73,0.6949,0.6997,0.6973
0.74,0.6896,0.6997,0.6946
0.75,0.685,0.6997,0.6923
0.76,0.6784,0.6997,0.6889
0.77,0.6734,0.6997,0.6863
0.78,0.6674,0.7005,0.6836
0.79,0.6614,0.8001,0.7241
0.8,0.656,0.8001,0.7209
0.81,0.6487,0.8001,0.7165
0.82,0.6405,0.8001,0.7114
0.83,0.6325,0.8001,0.7065
0.84,0.6228,0.8001,0.7004
0.85,0.6116,0.9056,0.7301
0.86,0.5987,0.9056,0.7209
0.87,0.5873,0.9056,0.7125
0.88,0.5712,0.9056,0.7005
0.89,0.5533,0.9056,0.6869
0.9,0.5309,0.9056,0.6694
0.91,0.5085,0.9056,0.6513
0.92,0.4799,0.9056,0.6273
0.93,0.4416,1.0,0.6126
0.94,0.3767,1.0,0.5473
0.95,0.2278,1.0,0.371
